CEP;Rua;Bairro;Cidade;Latitude;Longitude
13465-010; Rua Capitão Corrêa Pacheco; Centro; Americana/SP;-22.7363169;-47.3314541,18
13465-015; Rua Carioba; Centro; Americana/SP;-22.7369052;-47.3309607,18
13465-480; Rua Castro Alves; Centro; Americana/SP;-22.7403777;-47.3424992,17
13465-040; Rua Dom Pedro II; Centro; Americana/SP;-22.7561795;-47.3243034,17
13465-060; Rua dos Professores; Centro; Americana/SP;-22.7435483;-47.3327247,17
13465-270; Rua Doutor Vieira Bueno; Centro; Americana/SP;-22.7397577;-47.3338902,17
13465-490; Rua Doze de Novembro; Centro; Americana/SP;-22.7379032;-47.3401294,16
13465-020; Rua Fernando Camargo; Centro; Americana/SP;-22.7427255;-47.3318084,17
13465-311; Rua Francisco Rubbo; Centro; Americana/SP;-22.7347085;-47.3334065,18
13465-300; Rua Heitor Penteado; Centro; Americana/SP;-22.7570714;-47.3337705,14
13465-285; Rua Ipiranga; Centro; Americana/SP;-22.7378497;-47.3442186,15
13465-530; Rua Joaquim Luiz de Mattos; Centro; Americana/SP;-22.7394309;-47.3314498,17
13465-310; Rua Jorge Jones; Centro; Americana/SP;-22.736206;-47.3323465,18
13465-450; Rua José de Alencar; Centro; Americana/SP;-22.7398195;-47.340656,17
13465-050; Rua Marechal Deodoro; Centro; Americana/SP;-22.7421903;-47.3308293,17
13465-080; Rua Marechal Floriano Peixoto; Centro; Americana/SP;-22.7437199;-47.3296763,18
13465-470; Rua Olavo Bilac; Centro; Americana/SP;-22.7394549;-47.3414612,17
13465-250; Rua Padre Epifânio Estevam; Centro; Americana/SP;-22.74183;-47.3358945,17
13465-260; Rua Princesa Isabel; Centro; Americana/SP;-22.7426715;-47.3337819,17
13465-030; Rua Rio Branco; Centro; Americana/SP;-22.7412164;-47.3301973,17
13465-280; Rua Rui Barbosa; Centro; Americana/SP;-22.7407015;-47.334346,17
13465-320; Rua Sete de Setembro; Centro; Americana/SP;-22.7399445;-47.3392012,16
13465-500; Rua Trinta de Julho; Centro; Americana/SP;-22.8319157;-47.3518433,11
13465-520; Rua Washington Luiz; Centro; Americana/SP;-22.7400895;-47.3415513,16
13465-521; Travessa Giongo; Centro; Americana/SP;-22.7403129;-47.3358524,18
13475-010; Avenida Comendador Thomaz Fortunato; Chácara Letônia; Americana/SP;-22.7153755;-47.2822029,17
13475-056; Estrada Isabela Gonçalves Ferro Santarosa; Chácara Letônia; Americana/SP;-22.7450514;-47.2720796,16
13475-005; Rua Adalberto Panzam; Chácara Letônia; Americana/SP;-22.7294922;-47.2912385,17
13475-054; Rua Américo Pace; Chácara Letônia; Americana/SP;-22.7300196;-47.2846217,18
13475-052; Rua Antônio Felipe Caran; Chácara Letônia; Americana/SP;-22.7309824;-47.2858549,18
13475-050; Rua Doutor Sahid Maluf; Chácara Letônia; Americana/SP;-22.7321074;-47.2852719,18
13475-055; Rua Ferdinando Drago; Chácara Letônia; Americana/SP;-22.7301287;-47.285687,17
13475-051; Rua Luiz Urban Calligaris; Chácara Letônia; Americana/SP;-22.7318302;-47.2845127,18
13475-053; Rua Pompeu Ardito; Chácara Letônia; Americana/SP;-22.7311036;-47.286625,17
13475-413; Avenida Comendador Thomaz Fortunato; Chácara Lucília; Americana/SP;-22.7311036;
13475-421; Caminho de Servidão; Chácara Lucília; Americana/SP;-22.7444361;-47.2579762,17
13475-412; Rua Calimério Paes de Campos; Chácara Lucília; Americana/SP;-22.707831;-47.2752057,17
13475-411; Rua Giordano Salvador; Chácara Lucília; Americana/SP;-22.7076703;-47.2745374,18
13475-420; Rua João Luchiari; Chácara Lucília; Americana/SP;-22.7065836;-47.2756868,17
13475-410; Rua Vitório Pigatto; Chácara Lucília; Americana/SP;-22.7083634;-47.2741814,17
13478-100; Rua Guanabara; Chácara Machadinho I; Americana/SP;-22.7368004;-47.3245777,17
13478-040; Rua José Bonifácio; Chácara Machadinho I; Americana/SP;-22.7395238;-47.3275174,17
13478-080; Rua Mato Grosso; Chácara Machadinho I; Americana/SP;-22.7384901;-47.3277844,16
13478-090; Rua Paraíba; Chácara Machadinho I; Americana/SP;-22.7392159;-47.3242471,17
13478-070; Rua Piauí; Chácara Machadinho I; Americana/SP;-22.7397571;-47.328493,16
13478-060; Rua Rio de Janeiro; Chácara Machadinho I; Americana/SP;-22.7399251;-47.3269704,17
13478-050; Rua Rondônia; Chácara Machadinho I; Americana/SP;-22.7414497;-47.3267134,17
13478-051; Rua Roraima; Chácara Machadinho I; Americana/SP;-22.7414966;-47.3248468,18
